Trade number,Instrument,Account,Strategy,Market pos.,Qty,Entry price,Exit price,Entry time,Exit time,Entry name,Exit name,Profit,Cum. net profit,Commission,Clearing Fee,Exchange Fee,IP Fee,NFA Fee,MAE,MFE,ETD,Bars,
622,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4568.8,4562.9,2026-05-20 10:13:00 AM,2026-05-20 10:13:15 AM,GS,StallExit,$56.60,$16994.40,$2.40,$0.00,$0.00,$0.00,$0.00,$38.00,$67.00,$10.40,2,
623,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4568.8,4572.6,2026-05-20 10:13:00 AM,2026-05-20 10:15:00 AM,GS,Stop loss,-$40.40,$16954.00,$2.40,$0.00,$0.00,$0.00,$0.00,$38.00,$67.00,$107.40,3,
624,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4590.9,4587.8,2026-05-22 10:16:00 AM,2026-05-22 10:18:00 AM,GS,TP1,$28.60,$16982.60,$2.40,$0.00,$0.00,$0.00,$0.00,$59.00,$81.00,$52.40,3,
625,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4590.9,4588.2,2026-05-22 10:16:00 AM,2026-05-22 10:17:06 AM,GS,StallExit,$24.60,$17007.20,$2.40,$0.00,$0.00,$0.00,$0.00,$59.00,$81.00,$56.40,3,
626,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4590.9,4589.2,2026-05-22 10:16:00 AM,2026-05-22 10:17:30 AM,GS,StallExit,$14.60,$17021.80,$2.40,$0.00,$0.00,$0.00,$0.00,$59.00,$81.00,$66.40,3,
627,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4590.9,4588.4,2026-05-22 10:16:00 AM,2026-05-22 10:17:42 AM,GS,StallExit,$22.60,$17044.40,$2.40,$0.00,$0.00,$0.00,$0.00,$59.00,$81.00,$58.40,3,
628,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4590.9,4596.8,2026-05-22 10:16:00 AM,2026-05-22 10:36:00 AM,GS,Stop loss,-$61.40,$16983.00,$2.40,$0.00,$0.00,$0.00,$0.00,$59.00,$81.00,$142.40,21,
629,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4604.0,4607.7,2026-05-26 10:14:00 AM,2026-05-26 10:20:00 AM,GS,Stop loss,-$197.00,$16786.00,$12.00,$0.00,$0.00,$0.00,$0.00,$185.00,$140.00,$337.00,7,
630,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4598.8,4601.7,2026-05-26 11:19:00 AM,2026-05-26 11:20:00 AM,GS,Stop loss,-$157.00,$16629.00,$12.00,$0.00,$0.00,$0.00,$0.00,$145.00,$25.00,$182.00,2,
631,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4586.8,4583.3,2026-05-26 1:57:00 PM,2026-05-26 2:00:00 PM,GS,TP1,$32.60,$16661.60,$2.40,$0.00,$0.00,$0.00,$0.00,$5.00,$95.00,$62.40,4,
632,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4586.8,4583.3,2026-05-26 1:57:00 PM,2026-05-26 1:59:03 PM,GS,StallExit,$32.60,$16694.20,$2.40,$0.00,$0.00,$0.00,$0.00,$5.00,$95.00,$62.40,4,
633,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4586.8,4583.6,2026-05-26 1:57:00 PM,2026-05-26 1:59:15 PM,GS,StallExit,$29.60,$16723.80,$2.40,$0.00,$0.00,$0.00,$0.00,$5.00,$95.00,$65.40,4,
634,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4586.8,4584.3,2026-05-26 1:57:00 PM,2026-05-26 1:59:27 PM,GS,StallExit,$22.60,$16746.40,$2.40,$0.00,$0.00,$0.00,$0.00,$5.00,$95.00,$72.40,4,
635,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4586.8,4577.7,2026-05-26 1:57:00 PM,2026-05-26 2:04:00 PM,GS,TP2,$88.60,$16835.00,$2.40,$0.00,$0.00,$0.00,$0.00,$5.00,$95.00,$6.40,8,
636,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4666.1,4668.8,2026-05-29 11:05:00 AM,2026-05-29 11:06:00 AM,GL_B,TP1,$24.60,$16859.60,$2.40,$0.00,$0.00,$0.00,$0.00,$25.00,$146.00,$121.40,2,
637,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4666.1,4669.5,2026-05-29 11:05:00 AM,2026-05-29 11:05:24 AM,GL_B,StallExit,$31.60,$16891.20,$2.40,$0.00,$0.00,$0.00,$0.00,$25.00,$146.00,$114.40,2,
638,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4666.1,4668.8,2026-05-29 11:05:00 AM,2026-05-29 11:05:36 AM,GL_B,StallExit,$24.60,$16915.80,$2.40,$0.00,$0.00,$0.00,$0.00,$25.00,$146.00,$121.40,2,
639,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4666.1,4667.4,2026-05-29 11:05:00 AM,2026-05-29 11:05:48 AM,GL_B,StallExit,$10.60,$16926.40,$2.40,$0.00,$0.00,$0.00,$0.00,$25.00,$146.00,$135.40,2,
640,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4666.1,4679.5,2026-05-29 11:05:00 AM,2026-05-29 11:10:00 AM,GL_B,TP2,$131.60,$17058.00,$2.40,$0.00,$0.00,$0.00,$0.00,$25.00,$146.00,$14.40,6,
641,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4682.2,4674.1,2026-05-29 11:13:00 AM,2026-05-29 11:22:00 AM,GL_B,Stop loss,-$417.00,$16641.00,$12.00,$0.00,$0.00,$0.00,$0.00,$405.00,$205.00,$622.00,10,
642,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4441.2,4438.2,2026-06-05 10:24:00 AM,2026-06-05 10:27:00 AM,GS,TP1,$27.60,$16668.60,$2.40,$0.00,$0.00,$0.00,$0.00,$69.00,$98.00,$70.40,4,
643,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4441.2,4438.5,2026-06-05 10:24:00 AM,2026-06-05 10:26:15 AM,GS,StallExit,$24.60,$16693.20,$2.40,$0.00,$0.00,$0.00,$0.00,$69.00,$98.00,$73.40,4,
644,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4441.2,4439.0,2026-06-05 10:24:00 AM,2026-06-05 10:26:33 AM,GS,StallExit,$19.60,$16712.80,$2.40,$0.00,$0.00,$0.00,$0.00,$69.00,$98.00,$78.40,4,
645,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4441.2,4437.8,2026-06-05 10:24:00 AM,2026-06-05 10:26:45 AM,GS,StallExit,$31.60,$16744.40,$2.40,$0.00,$0.00,$0.00,$0.00,$69.00,$98.00,$66.40,4,
646,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4441.2,4432.5,2026-06-05 10:24:00 AM,2026-06-05 10:41:00 AM,GS,TP2,$84.60,$16829.00,$2.40,$0.00,$0.00,$0.00,$0.00,$69.00,$98.00,$13.40,18,
647,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4427.0,4421.7,2026-06-05 11:39:00 AM,2026-06-05 11:40:00 AM,GS,TP1,$50.60,$16879.60,$2.40,$0.00,$0.00,$0.00,$0.00,$6.00,$81.00,$30.40,2,
648,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4427.0,4421.7,2026-06-05 11:39:00 AM,2026-06-05 11:40:00 AM,GS,TP2,$50.60,$16930.20,$2.40,$0.00,$0.00,$0.00,$0.00,$6.00,$81.00,$30.40,2,
649,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4427.0,4421.1,2026-06-05 11:39:00 AM,2026-06-05 11:39:12 AM,GS,StallExit,$56.60,$16986.80,$2.40,$0.00,$0.00,$0.00,$0.00,$6.00,$81.00,$24.40,2,
650,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4427.0,4421.4,2026-06-05 11:39:00 AM,2026-06-05 11:39:24 AM,GS,StallExit,$53.60,$17040.40,$2.40,$0.00,$0.00,$0.00,$0.00,$6.00,$81.00,$27.40,2,
651,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4427.0,4420.5,2026-06-05 11:39:00 AM,2026-06-05 11:43:00 AM,GS,TP3,$62.60,$17103.00,$2.40,$0.00,$0.00,$0.00,$0.00,$6.00,$81.00,$18.40,5,
652,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4379.0,4367.5,2026-06-09 10:45:00 AM,2026-06-09 10:46:00 AM,GS,FullTake,$563.00,$17666.00,$12.00,$0.00,$0.00,$0.00,$0.00,$20.00,$615.00,$52.00,2,
653,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4232.0,4229.7,2026-06-10 10:46:00 AM,2026-06-10 10:49:00 AM,GS,TP1,$20.60,$17686.60,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$93.00,$72.40,4,
654,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4232.0,4224.1,2026-06-10 10:46:00 AM,2026-06-10 10:48:45 AM,GS,StallExit,$76.60,$17763.20,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$93.00,$16.40,4,
655,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4232.0,4223.5,2026-06-10 10:46:00 AM,2026-06-10 10:48:57 AM,GS,StallExit,$82.60,$17845.80,$2.40,$0.00,$0.00,$0.00,$0.00,$18.00,$93.00,$10.40,4,
656,MGC 12-26,Backtest,GoldTrendScalperV40,Short,2,4232.0,4222.9,2026-06-10 10:46:00 AM,2026-06-10 10:50:00 AM,GS,FullTake,$177.20,$18023.00,$4.80,$0.00,$0.00,$0.00,$0.00,$36.00,$186.00,$8.80,5,
657,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4181.8,4204.9,2026-06-11 1:31:00 PM,2026-06-11 1:32:00 PM,GL_PB,FullTake,$1143.00,$19166.00,$12.00,$0.00,$0.00,$0.00,$0.00,$10.00,$1195.00,$52.00,2,
658,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4315.5,4321.8,2026-06-18 10:17:00 AM,2026-06-18 10:17:00 AM,GS,Stop loss,-$327.00,$18839.00,$12.00,$0.00,$0.00,$0.00,$0.00,$315.00,$0.00,$327.00,1,
659,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4075.2,4080.5,2026-06-24 11:08:00 AM,2026-06-24 11:15:00 AM,GS,Stop loss,-$277.00,$18562.00,$12.00,$0.00,$0.00,$0.00,$0.00,$265.00,$90.00,$367.00,8,
660,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4057.2,4055.5,2026-06-24 1:50:00 PM,2026-06-24 1:52:00 PM,GS,TP1,$14.60,$18576.60,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$215.00,$200.40,3,
661,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4057.2,4055.5,2026-06-24 1:50:00 PM,2026-06-24 1:51:03 PM,GS,StallExit,$14.60,$18591.20,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$215.00,$200.40,3,
662,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4057.2,4054.9,2026-06-24 1:50:00 PM,2026-06-24 1:51:18 PM,GS,StallExit,$20.60,$18611.80,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$215.00,$194.40,3,
663,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4057.2,4056.2,2026-06-24 1:50:00 PM,2026-06-24 1:52:03 PM,GS,StallExit,$7.60,$18619.40,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$215.00,$207.40,4,
664,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4057.2,4037.5,2026-06-24 1:50:00 PM,2026-06-24 2:05:00 PM,GS,TP2,$194.60,$18814.00,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$215.00,$20.40,16,
665,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4100.2,4096.3,2026-06-29 10:05:00 AM,2026-06-29 10:07:00 AM,GS,TP1,$36.60,$18850.60,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$121.00,$84.40,3,
666,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4100.2,4096.3,2026-06-29 10:05:00 AM,2026-06-29 10:07:00 AM,GS,TP2,$36.60,$18887.20,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$121.00,$84.40,3,
667,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4100.2,4096.1,2026-06-29 10:05:00 AM,2026-06-29 10:06:15 AM,GS,StallExit,$38.60,$18925.80,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$121.00,$82.40,3,
668,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4100.2,4090.5,2026-06-29 10:05:00 AM,2026-06-29 10:06:42 AM,GS,StallExit,$94.60,$19020.40,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$121.00,$26.40,3,
669,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4100.2,4090.3,2026-06-29 10:05:00 AM,2026-06-29 10:08:00 AM,GS,TP3,$96.60,$19117.00,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$121.00,$24.40,4,
670,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4127.4,4124.4,2026-07-08 10:16:00 AM,2026-07-08 10:17:00 AM,GS,TP1,$27.60,$19144.60,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$61.00,$33.40,2,
671,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4127.4,4124.4,2026-07-08 10:16:00 AM,2026-07-08 10:16:03 AM,GS,StallExit,$27.60,$19172.20,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$61.00,$33.40,2,
672,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4127.4,4122.6,2026-07-08 10:16:00 AM,2026-07-08 10:16:30 AM,GS,StallExit,$45.60,$19217.80,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$61.00,$15.40,2,
673,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4127.4,4121.6,2026-07-08 10:16:00 AM,2026-07-08 10:16:42 AM,GS,StallExit,$55.60,$19273.40,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$61.00,$5.40,2,
674,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4127.4,4123.5,2026-07-08 10:16:00 AM,2026-07-08 10:18:00 AM,GS,TP2,$36.60,$19310.00,$2.40,$0.00,$0.00,$0.00,$0.00,$17.00,$61.00,$24.40,3,
675,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4100.0,4105.7,2026-07-13 10:08:00 AM,2026-07-13 10:12:00 AM,GS,Stop loss,-$297.00,$19013.00,$12.00,$0.00,$0.00,$0.00,$0.00,$285.00,$220.00,$517.00,5,
676,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4070.4,4068.3,2026-07-13 12:31:00 PM,2026-07-13 12:33:00 PM,GS,TP1,$18.60,$19031.60,$2.40,$0.00,$0.00,$0.00,$0.00,$9.00,$137.00,$118.40,3,
677,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4070.4,4068.3,2026-07-13 12:31:00 PM,2026-07-13 12:32:03 PM,GS,StallExit,$18.60,$19050.20,$2.40,$0.00,$0.00,$0.00,$0.00,$9.00,$137.00,$118.40,3,
678,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4070.4,4067.7,2026-07-13 12:31:00 PM,2026-07-13 12:32:15 PM,GS,StallExit,$24.60,$19074.80,$2.40,$0.00,$0.00,$0.00,$0.00,$9.00,$137.00,$112.40,3,
679,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4070.4,4068.0,2026-07-13 12:31:00 PM,2026-07-13 12:32:27 PM,GS,StallExit,$21.60,$19096.40,$2.40,$0.00,$0.00,$0.00,$0.00,$9.00,$137.00,$115.40,3,
680,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4070.4,4059.1,2026-07-13 12:31:00 PM,2026-07-13 12:37:00 PM,GS,TP2,$110.60,$19207.00,$2.40,$0.00,$0.00,$0.00,$0.00,$9.00,$137.00,$26.40,7,
681,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4060.7,4058.6,2026-07-13 12:52:00 PM,2026-07-13 12:54:00 PM,GS,TP1,$18.60,$19225.60,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$86.00,$67.40,3,
682,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4060.7,4058.6,2026-07-13 12:52:00 PM,2026-07-13 12:53:03 PM,GS,StallExit,$18.60,$19244.20,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$86.00,$67.40,3,
683,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4060.7,4058.9,2026-07-13 12:52:00 PM,2026-07-13 12:54:12 PM,GS,StallExit,$15.60,$19259.80,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$86.00,$70.40,4,
684,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4060.7,4058.9,2026-07-13 12:52:00 PM,2026-07-13 12:54:39 PM,GS,StallExit,$15.60,$19275.40,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$86.00,$70.40,4,
685,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4060.7,4060.7,2026-07-13 12:52:00 PM,2026-07-13 1:01:00 PM,GS,Stop loss,-$2.40,$19273.00,$2.40,$0.00,$0.00,$0.00,$0.00,$8.00,$86.00,$88.40,10,
686,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4105.0,4102.8,2026-07-15 12:12:00 PM,2026-07-15 12:19:00 PM,GS,TP1,$19.60,$19292.60,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$123.00,$103.40,8,
687,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4105.0,4102.8,2026-07-15 12:12:00 PM,2026-07-15 12:18:03 PM,GS,StallExit,$19.60,$19312.20,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$123.00,$103.40,8,
688,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4105.0,4102.0,2026-07-15 12:12:00 PM,2026-07-15 12:18:18 PM,GS,StallExit,$27.60,$19339.80,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$123.00,$95.40,8,
689,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4105.0,4101.5,2026-07-15 12:12:00 PM,2026-07-15 12:18:33 PM,GS,StallExit,$32.60,$19372.40,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$123.00,$90.40,8,
690,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4105.0,4095.7,2026-07-15 12:12:00 PM,2026-07-15 12:38:00 PM,GS,TP2,$90.60,$19463.00,$2.40,$0.00,$0.00,$0.00,$0.00,$16.00,$123.00,$32.40,27,
691,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4063.7,4061.5,2026-07-16 12:06:00 PM,2026-07-16 12:09:00 PM,GS,TP1,$19.60,$19482.60,$2.40,$0.00,$0.00,$0.00,$0.00,$13.00,$130.00,$110.40,4,
692,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4063.7,4061.6,2026-07-16 12:06:00 PM,2026-07-16 12:08:09 PM,GS,StallExit,$18.60,$19501.20,$2.40,$0.00,$0.00,$0.00,$0.00,$13.00,$130.00,$111.40,4,
693,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4063.7,4061.9,2026-07-16 12:06:00 PM,2026-07-16 12:09:06 PM,GS,StallExit,$15.60,$19516.80,$2.40,$0.00,$0.00,$0.00,$0.00,$13.00,$130.00,$114.40,5,
694,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4063.7,4061.9,2026-07-16 12:06:00 PM,2026-07-16 12:09:24 PM,GS,StallExit,$15.60,$19532.40,$2.40,$0.00,$0.00,$0.00,$0.00,$13.00,$130.00,$114.40,5,
695,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4063.7,4050.7,2026-07-16 12:06:00 PM,2026-07-16 12:20:00 PM,GS,TP2,$127.60,$19660.00,$2.40,$0.00,$0.00,$0.00,$0.00,$13.00,$130.00,$2.40,15,
696,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4050.5,4048.4,2026-07-16 12:21:00 PM,2026-07-16 12:22:00 PM,GS,TP1,$18.60,$19678.60,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$49.00,$30.40,2,
697,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4050.5,4048.4,2026-07-16 12:21:00 PM,2026-07-16 12:21:03 PM,GS,StallExit,$18.60,$19697.20,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$49.00,$30.40,2,
698,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4050.5,4048.6,2026-07-16 12:21:00 PM,2026-07-16 12:29:12 PM,GS,StallExit,$16.60,$19713.80,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$49.00,$32.40,10,
699,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4050.5,4048.6,2026-07-16 12:21:00 PM,2026-07-16 12:29:39 PM,GS,StallExit,$16.60,$19730.40,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$49.00,$32.40,10,
700,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4050.5,4053.9,2026-07-16 12:21:00 PM,2026-07-16 12:36:00 PM,GS,Stop loss,-$36.40,$19694.00,$2.40,$0.00,$0.00,$0.00,$0.00,$34.00,$49.00,$85.40,16,
701,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4102.2,4107.5,2026-07-23 10:10:00 AM,2026-07-23 10:10:00 AM,GS,Stop loss,-$277.00,$19417.00,$12.00,$0.00,$0.00,$0.00,$0.00,$265.00,$0.00,$277.00,1,
702,MGC 12-26,Backtest,GoldTrendScalperV40,Short,5,4107.3,4110.6,2026-07-23 11:32:00 AM,2026-07-23 11:36:00 AM,GS,Stop loss,-$177.00,$19240.00,$12.00,$0.00,$0.00,$0.00,$0.00,$165.00,$155.00,$332.00,5,
703,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4099.1,4103.0,2026-07-29 1:08:00 PM,2026-07-29 1:14:00 PM,GL_B,TP1,$36.60,$19276.60,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$107.00,$70.40,7,
704,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4099.1,4107.8,2026-07-29 1:08:00 PM,2026-07-29 1:13:48 PM,GL_B,StallExit,$84.60,$19361.20,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$107.00,$22.40,7,
705,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4099.1,4106.5,2026-07-29 1:08:00 PM,2026-07-29 1:14:00 PM,GL_B,StallExit,$71.60,$19432.80,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$107.00,$35.40,7,
706,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4099.1,4106.1,2026-07-29 1:08:00 PM,2026-07-29 1:15:00 PM,GL_B,TP2,$67.60,$19500.40,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$107.00,$39.40,8,
707,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4099.1,4106.1,2026-07-29 1:08:00 PM,2026-07-29 1:15:00 PM,GL_B,TP3,$67.60,$19568.00,$2.40,$0.00,$0.00,$0.00,$0.00,$30.00,$107.00,$39.40,8,
708,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4156.4,4159.6,2026-08-04 1:05:00 PM,2026-08-04 1:06:00 PM,GL_B,TP1,$29.60,$19597.60,$2.40,$0.00,$0.00,$0.00,$0.00,$0.00,$62.00,$32.40,2,
709,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4156.4,4160.9,2026-08-04 1:05:00 PM,2026-08-04 1:05:30 PM,GL_B,StallExit,$42.60,$19640.20,$2.40,$0.00,$0.00,$0.00,$0.00,$0.00,$62.00,$19.40,2,
710,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4156.4,4161.6,2026-08-04 1:05:00 PM,2026-08-04 1:05:42 PM,GL_B,StallExit,$49.60,$19689.80,$2.40,$0.00,$0.00,$0.00,$0.00,$0.00,$62.00,$12.40,2,
711,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4156.4,4162.4,2026-08-04 1:05:00 PM,2026-08-04 1:05:54 PM,GL_B,StallExit,$57.60,$19747.40,$2.40,$0.00,$0.00,$0.00,$0.00,$0.00,$62.00,$4.40,2,
712,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4156.4,4162.4,2026-08-04 1:05:00 PM,2026-08-04 1:07:00 PM,GL_B,TP2,$57.60,$19805.00,$2.40,$0.00,$0.00,$0.00,$0.00,$0.00,$62.00,$4.40,3,
713,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4285.1,4287.7,2026-08-05 10:10:00 AM,2026-08-05 10:11:00 AM,GL_B,TP1,$23.60,$19828.60,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$111.00,$87.40,2,
714,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4285.1,4287.7,2026-08-05 10:10:00 AM,2026-08-05 10:10:03 AM,GL_B,StallExit,$23.60,$19852.20,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$111.00,$87.40,2,
715,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4285.1,4288.3,2026-08-05 10:10:00 AM,2026-08-05 10:10:15 AM,GL_B,StallExit,$29.60,$19881.80,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$111.00,$81.40,2,
716,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4285.1,4288.7,2026-08-05 10:10:00 AM,2026-08-05 10:10:27 AM,GL_B,StallExit,$33.60,$19915.40,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$111.00,$77.40,2,
717,MGC 12-26,Backtest,GoldTrendScalperV40,Long,1,4285.1,4295.9,2026-08-05 10:10:00 AM,2026-08-05 10:20:00 AM,GL_B,TP2,$105.60,$20021.00,$2.40,$0.00,$0.00,$0.00,$0.00,$4.00,$111.00,$5.40,11,
718,MGC 12-26,Backtest,GoldTrendScalperV40,Long,5,4325.0,4318.6,2026-08-05 11:28:00 AM,2026-08-05 11:29:00 AM,GL_B,Stop loss,-$332.00,$19689.00,$12.00,$0.00,$0.00,$0.00,$0.00,$320.00,$15.00,$347.00,2,
719,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4285.1,4283.1,2026-08-06 12:18:00 PM,2026-08-06 12:25:00 PM,GS,TP1,$17.60,$19706.60,$2.40,$0.00,$0.00,$0.00,$0.00,$48.00,$43.00,$25.40,8,
720,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4285.1,4283.1,2026-08-06 12:18:00 PM,2026-08-06 12:24:03 PM,GS,StallExit,$17.60,$19724.20,$2.40,$0.00,$0.00,$0.00,$0.00,$48.00,$43.00,$25.40,8,
721,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4285.1,4282.6,2026-08-06 12:18:00 PM,2026-08-06 12:24:15 PM,GS,StallExit,$22.60,$19746.80,$2.40,$0.00,$0.00,$0.00,$0.00,$48.00,$43.00,$20.40,8,
722,MGC 12-26,Backtest,GoldTrendScalperV40,Short,1,4285.1,4282.6,2026-08-06 12:18:00 PM,2026-08-06 12:24:27 PM,GS,StallExit,$22.60,$19769.40,$2.40,$0.00,$0.00,$0.00,$0.00,$48.00,$43.00,$20.40,8,
